cell_line_name
HOS_BONE
RVH421_SKIN
SNU449_LIVER
NCIH28_PLEURA
OV56_OVARY
RMUGS_OVARY
LN229_CENTRAL_NERVOUS_SYSTEM
RKN_SOFT_TISSUE
PATU8988S_PANCREAS
SF126_CENTRAL_NERVOUS_SYSTEM
RERFLCAD2_LUNG
OUMS23_LARGE_INTESTINE
SNGM_ENDOMETRIUM
NCIH2347_LUNG
SW1990_PANCREAS
HT1080_SOFT_TISSUE
NCIH2087_LUNG
CAKI1_KIDNEY
SW480_LARGE_INTESTINE
SNUC2A_LARGE_INTESTINE
HEC151_ENDOMETRIUM
MSTO211H_PLEURA
NCIH1651_LUNG
SKUT1_SOFT_TISSUE
MDAMB175VII_BREAST
EBC1_LUNG
NCIH322_LUNG
PANC1_PANCREAS
T47D_BREAST
BICR56_UPPER_AERODIGESTIVE_TRACT
BICR16_UPPER_AERODIGESTIVE_TRACT
TE10_OESOPHAGUS
BICR6_UPPER_AERODIGESTIVE_TRACT
SH4_SKIN
TUHR4TKB_KIDNEY
HPAC_PANCREAS
RCC10RGB_KIDNEY
JHOM1_OVARY
TE6_OESOPHAGUS
JHOC5_OVARY
ACCMESO1_PLEURA
SNU1214_UPPER_AERODIGESTIVE_TRACT
CORL105_LUNG
LMSU_STOMACH
COLO668_LUNG
OSRC2_KIDNEY
HUH6_LIVER
PANC0203_PANCREAS
CJM_SKIN
TM31_CENTRAL_NERVOUS_SYSTEM
TE4_OESOPHAGUS
YD15_SALIVARY_GLAND
ECGI10_OESOPHAGUS
SNU761_LIVER
SNU61_LARGE_INTESTINE
NCIH1915_LUNG
YD10B_UPPER_AERODIGESTIVE_TRACT
HEC1B_ENDOMETRIUM
OVK18_OVARY
SNU1077_ENDOMETRIUM
SNU213_PANCREAS
TE14_OESOPHAGUS
TE8_OESOPHAGUS
LI7_LIVER
NCIH838_LUNG
SNUC5_LARGE_INTESTINE
SNUC4_LARGE_INTESTINE
MDAMB231_BREAST
OVTOKO_OVARY
HLF_LIVER
HCT15_LARGE_INTESTINE
SF295_CENTRAL_NERVOUS_SYSTEM
JHH4_LIVER
SJSA1_BONE
NCIH2228_LUNG
RERFLCAI_LUNG
SKMES1_LUNG
COLO800_SKIN
RL952_ENDOMETRIUM
J82_URINARY_TRACT
HCC15_LUNG
CALU6_LUNG
SKLU1_LUNG
SW900_LUNG
UACC62_SKIN
MFE296_ENDOMETRIUM
GOS3_CENTRAL_NERVOUS_SYSTEM
GI1_CENTRAL_NERVOUS_SYSTEM
A204_SOFT_TISSUE
PATU8902_PANCREAS
RERFLCMS_LUNG
DANG_PANCREAS
NCIH460_LUNG
HUPT3_PANCREAS
GCIY_STOMACH
SH10TC_STOMACH
KNS60_CENTRAL_NERVOUS_SYSTEM
KNS81_CENTRAL_NERVOUS_SYSTEM
LU99_LUNG
MKN1_STOMACH
MKN74_STOMACH
HSC2_UPPER_AERODIGESTIVE_TRACT
HUH7_LIVER
KMBC2_URINARY_TRACT
KMRC20_KIDNEY
HUCCT1_BILIARY_TRACT
KALS1_CENTRAL_NERVOUS_SYSTEM
HEC108_ENDOMETRIUM
HUH28_BILIARY_TRACT
HEC265_ENDOMETRIUM
CAL12T_LUNG
CAMA1_BREAST
HEC6_ENDOMETRIUM
HSC3_UPPER_AERODIGESTIVE_TRACT
VMRCRCW_KIDNEY
HGC27_STOMACH
NUGC4_STOMACH
HMC18_BREAST
CORL23_LUNG
HARA_LUNG
SKOV3_OVARY
NCIH1568_LUNG
A673_BONE
NCIH358_LUNG
CFPAC1_PANCREAS
NCIH1650_LUNG
NCIH1793_LUNG
FADU_UPPER_AERODIGESTIVE_TRACT
MDAMB436_BREAST
CAL27_UPPER_AERODIGESTIVE_TRACT
MESSA_SOFT_TISSUE
SW1271_LUNG
NCIH1792_LUNG
GCT_SOFT_TISSUE
NCIN87_STOMACH
U2OS_BONE
H4_CENTRAL_NERVOUS_SYSTEM
HCC1143_BREAST
T24_URINARY_TRACT
G401_SOFT_TISSUE
HCC1937_BREAST
TEN_ENDOMETRIUM
TE9_OESOPHAGUS
YH13_CENTRAL_NERVOUS_SYSTEM
NCIH2052_PLEURA
SKNAS_AUTONOMIC_GANGLIA
SNU398_LIVER
SNU423_LIVER
SKES1_BONE
BXPC3_PANCREAS
HEC251_ENDOMETRIUM
HCC95_LUNG
COLO783_SKIN
HCC1359_LUNG
BICR31_UPPER_AERODIGESTIVE_TRACT
COV362_OVARY
COLO792_SKIN
COV434_OVARY
WM983B_SKIN
LS513_LARGE_INTESTINE
NCIH2110_LUNG
FTC238_THYROID
DMS273_LUNG
FTC133_THYROID
NCIH1339_LUNG
WM793_SKIN
A704_KIDNEY
WM1799_SKIN
WM88_SKIN
SW837_LARGE_INTESTINE
IGR1_SKIN
GP2D_LARGE_INTESTINE
PECAPJ15_UPPER_AERODIGESTIVE_TRACT
PECAPJ49_UPPER_AERODIGESTIVE_TRACT
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT
OV7_OVARY
